0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/imgs/article_images/news.jpg HTTP/1.1" 200 21336
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/imgs/article_images/TEch%20Tonic.png HTTP/1.1" 200 142330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/footer.html HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:09:34 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:13:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:49 +0530] "GET /AboutUs HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/gsmarena_001.jpg HTTP/1.1" 200 189002
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/nothing-phone-2.jpg HTTP/1.1" 200 14217
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/news.jpg HTTP/1.1" 200 21336
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/8e9a7c4c-f26a-4986-b4d7-4d63b23adf54.jpg HTTP/1.1" 200 109685
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/f83016ce-eff9-4072-a7e3-04cccf6b621a.jpg HTTP/1.1" 200 68596
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/imgs/article_images/TEch%20Tonic.png HTTP/1.1" 200 142330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/footer.html HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:33:51 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 23040
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:20 +0530] "GET /TechTonic/Index HTTP/1.1" 200 12258
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:20 +0530] "GET /TechTonic/imgs/pattern4.svg HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:20 +0530] "GET /TechTonic/imgs/pattern.svg HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:29 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:34 +0530] "GET /TechTonic/NewArticle HTTP/1.1" 200 7686
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:34:34 +0530] "GET /TechTonic/imgs/placeholder.svg HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:39 +0530] "POST /TechTonic/NewArticle HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:39 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:39 +0530] "GET /TechTonic/styles/checkmark.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:42 +0530] "GET /TechTonic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:42 +0530] "GET /TechTonic/ HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:42 +0530] "GET /TechTonic/imgs/article_images/23945425-640b-4cf0-8ab3-a1c61161476f.jpg HTTP/1.1" 200 20104
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:43 +0530] "GET /TechTonic/imgs/pattern4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:45 +0530] "GET /TechTonic/Article?title=Epic%20Games%20Store%20Free%20Game%20for%20June%2029%20Revealed&id=10 HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:38:45 +0530] "GET /TechTonic/imgs/article_images/23945425-640b-4cf0-8ab3-a1c61161476f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:39:02 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:40:01 +0530] "GET /TechTonic/Article?title=Epic%20Games%20Store%20Free%20Game%20for%20June%2029%20Revealed&id=10 HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:40:01 +0530] "GET /TechTonic/imgs/article_images/23945425-640b-4cf0-8ab3-a1c61161476f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:40:09 +0530] "GET /TechTonic/NewArticle HTTP/1.1" 200 7686
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:21 +0530] "POST /TechTonic/NewArticle HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:21 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:24 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:28 +0530] "GET null HTTP/1.1" 400 2268
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:36 +0530] "GET /TechTonic/index.html HTTP/1.1" 200 12242
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:37 +0530] "GET /TechTonic/imgs/pattern4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:37 +0530] "GET /TechTonic/imgs/pattern.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:43 +0530] "GET /TechTonic HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:43 +0530] "GET /TechTonic/ HTTP/1.1" 200 14245
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:43 +0530] "GET /TechTonic/imgs/article_images/f13f0b8b-39c8-47c4-8906-f765107f303d.jpg HTTP/1.1" 200 38580
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:43 +0530] "GET /TechTonic/imgs/article_images/23945425-640b-4cf0-8ab3-a1c61161476f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:45 +0530] "GET null HTTP/1.1" 400 2268
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:43:56 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:02 +0530] "GET /TechTonic/EditArticle?article_id=11 HTTP/1.1" 200 14195
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:02 +0530] "GET /TechTonic/imgs/article_images/f13f0b8b-39c8-47c4-8906-f765107f303d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:16 +0530] "POST /TechTonic/EditArticle?article_id=11 HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [23/Jun/2023:22:44:22 +0530] "GET /TechTonic/Dashboard HTTP/1.1" 200 4854
